quarter,date,gross_margin,ps_zscore_mean,ticker,regime,gm_lead1,gm_lead2,gm_lead4
2023Q4,2023-10-31,89.72266666666667,0.00773333333333337,GTLB,negative,89.00059171597633,88.09508196721312,88.12744186046511
2024Q2,2024-04-30,89.00059171597633,-0.09796666666666665,GTLB,negative,88.09508196721312,88.73571428571428,87.90466101694915
2024Q3,2024-07-31,88.09508196721312,-0.7017000000000001,GTLB,negative,88.73571428571428,88.12744186046511,86.93934426229508
2024Q4,2024-10-31,88.73571428571428,2.7752,GTLB,negative,88.12744186046511,87.90466101694915,
2025Q2,2025-04-30,88.12744186046511,0.30229999999999996,GTLB,negative,87.90466101694915,86.93934426229508,
2025Q3,2025-07-31,87.90466101694915,0.6081333333333333,GTLB,negative,86.93934426229508,,
2025Q4,2025-10-31,86.93934426229508,0.5458333333333334,GTLB,negative,,,
2019Q1,2019-03-31,66.73317850250237,-0.45629975230431286,MSFT,positive,69.11943529970046,68.51913477537438,68.66166014676908
2019Q2,2019-06-30,69.11943529970046,0.24744891525935445,MSFT,positive,68.51913477537438,66.51492982170922,67.5571214471643
2019Q3,2019-09-30,68.51913477537438,0.10669918174662103,MSFT,positive,66.51492982170922,68.66166014676908,70.38811433493028
2019Q4,2019-12-31,66.51492982170922,0.8104478493102883,MSFT,positive,68.66166014676908,67.5571214471643,67.04893676293064
2020Q1,2020-03-31,68.66166014676908,-1.3888618026315172,MSFT,positive,67.5571214471643,70.38811433493028,68.72152687862658
2020Q2,2020-06-30,67.5571214471643,-0.31284417667339975,MSFT,positive,70.38811433493028,67.04893676293064,69.68495406482927
2020Q3,2020-09-30,70.38811433493028,0.5365818153520326,MSFT,positive,67.04893676293064,68.72152687862658,69.88768012004326
2020Q4,2020-12-31,67.04893676293064,-0.22359088520728587,MSFT,positive,68.72152687862658,69.68495406482927,67.21311475409836
2021Q1,2021-03-31,68.72152687862658,0.8843344257243748,MSFT,positive,69.68495406482927,69.88768012004326,68.36507293354943
2021Q2,2021-06-30,69.68495406482927,1.665034420965312,MSFT,positive,69.88768012004326,67.21311475409836,68.32353224718017
2021Q3,2021-09-30,69.88768012004326,1.1706306665382573,MSFT,positive,67.21311475409836,68.36507293354943,69.1712222177886
2021Q4,2021-12-31,67.21311475409836,-0.27297124324685,MSFT,positive,68.36507293354943,68.32353224718017,66.84550780139155
2022Q1,2022-03-31,68.36507293354943,-1.5710830895669632,MSFT,positive,68.32353224718017,69.1712222177886,69.48748510131108
2022Q2,2022-06-30,68.32353224718017,-1.3472895256535276,MSFT,positive,69.1712222177886,66.84550780139155,70.1098079695314
2022Q3,2022-09-30,69.1712222177886,-0.48499381468905867,MSFT,positive,66.84550780139155,69.48748510131108,71.15558150644938
2022Q4,2022-12-31,66.84550780139155,-1.4270379663580623,MSFT,positive,69.48748510131108,70.1098079695314,68.36020638503709
2023Q1,2023-03-31,69.48748510131108,1.0861517924731863,MSFT,positive,70.1098079695314,71.15558150644938,70.08471014258463
2023Q2,2023-06-30,70.1098079695314,1.266883480262445,MSFT,positive,71.15558150644938,68.36020638503709,69.58919770729372
2023Q3,2023-09-30,71.15558150644938,0.5409478803222421,MSFT,positive,68.36020638503709,70.08471014258463,69.35427308073493
2023Q4,2023-12-31,68.36020638503709,0.6712801819114445,MSFT,positive,70.08471014258463,69.58919770729372,68.69399126838235
2024Q1,2024-03-31,70.08471014258463,0.7616079627591832,MSFT,positive,69.58919770729372,69.35427308073493,68.71663859789342
2024Q2,2024-06-30,69.58919770729372,-0.17226665835851582,MSFT,positive,69.35427308073493,68.69399126838235,68.58492170432098
2024Q3,2024-09-30,69.35427308073493,-0.05807439390701003,MSFT,positive,68.69399126838235,68.71663859789342,69.04587179586214
2024Q4,2024-12-31,68.69399126838235,-1.066824190604185,MSFT,positive,68.71663859789342,68.58492170432098,68.0361251584167
2025Q1,2025-03-31,68.71663859789342,-0.4731783492620037,MSFT,positive,68.58492170432098,69.04587179586214,67.63265207634582
2025Q2,2025-06-30,68.58492170432098,-0.7263007301958978,MSFT,positive,69.04587179586214,68.0361251584167,
2025Q3,2025-09-30,69.04587179586214,0.30548814864946366,MSFT,positive,68.0361251584167,67.63265207634582,
2025Q4,2025-12-31,68.0361251584167,-0.17861932436223196,MSFT,positive,67.63265207634582,,
2026Q1,2026-03-31,67.63265207634582,0.10669918174662106,MSFT,positive,,,
2020Q4,2020-10-31,58.12500000000001,-0.7532,SNOW,positive,56.84210526315789,57.64192139737992,64.07185628742515
2021Q1,2021-01-31,56.84210526315789,-0.7190333333333333,SNOW,positive,57.64192139737992,61.029411764705884,65.10416666666666
2021Q2,2021-04-30,57.64192139737992,-0.5342666666666667,SNOW,positive,61.029411764705884,64.07185628742515,64.92890995260665
2021Q3,2021-07-31,61.029411764705884,-0.37316666666666665,SNOW,positive,64.07185628742515,65.10416666666666,65.19114688128774
2021Q4,2021-10-31,64.07185628742515,-0.5630666666666667,SNOW,positive,65.10416666666666,64.92890995260665,65.70915619389586
2022Q1,2022-01-31,65.10416666666666,-0.5990000000000001,SNOW,positive,64.92890995260665,65.19114688128774,65.02546689303905
2022Q2,2022-04-30,64.92890995260665,-0.6323666666666666,SNOW,positive,65.19114688128774,65.70915619389586,66.34615384615384
2022Q3,2022-07-31,65.19114688128774,-0.5573,SNOW,positive,65.70915619389586,65.02546689303905,67.65578635014838
2022Q4,2022-10-31,65.70915619389586,-0.18686666666666665,SNOW,positive,65.02546689303905,66.34615384615384,68.80108991825612
2023Q1,2023-01-31,65.02546689303905,-0.6252,SNOW,positive,66.34615384615384,67.65578635014838,68.7741935483871
2023Q2,2023-04-30,66.34615384615384,-0.6340666666666667,SNOW,positive,67.65578635014838,68.80108991825612,67.06875753920386
2023Q3,2023-07-31,67.65578635014838,-0.8041999999999999,SNOW,positive,68.80108991825612,68.7741935483871,66.85845799769851
2023Q4,2023-10-31,68.80108991825612,-0.7962666666666666,SNOW,positive,68.7741935483871,67.06875753920386,65.92356687898089
2024Q1,2024-01-31,68.7741935483871,-0.4548666666666667,SNOW,positive,67.06875753920386,66.85845799769851,66.26139817629179
2024Q2,2024-04-30,67.06875753920386,0.8315666666666667,SNOW,positive,66.85845799769851,65.92356687898089,66.50671785028791
2024Q3,2024-07-31,66.85845799769851,2.6570666666666667,SNOW,positive,65.92356687898089,66.26139817629179,67.51091703056768
2024Q4,2024-10-31,65.92356687898089,1.6647666666666667,SNOW,positive,66.26139817629179,66.50671785028791,67.76586974443528
2025Q1,2025-01-31,66.26139817629179,0.9596333333333332,SNOW,positive,66.50671785028791,67.51091703056768,66.82242990654206
2025Q2,2025-04-30,66.50671785028791,0.6472666666666667,SNOW,positive,67.51091703056768,67.76586974443528,
2025Q3,2025-07-31,67.51091703056768,0.6328666666666666,SNOW,positive,67.76586974443528,66.82242990654206,
2025Q4,2025-10-31,67.76586974443528,1.4561666666666666,SNOW,positive,66.82242990654206,,
2026Q1,2026-01-31,66.82242990654206,-0.6164666666666667,SNOW,positive,,,
