quarter,date,revenue,revenue_yoy,ps_zscore_mean,ps_zscore_max,ticker,revenue_yoy_lead1,revenue_yoy_lead2
2023Q3,2023-09-30,56517000000.0,12.758868361198683,0.5409478803222421,0.8947101391745642,MSFT,17.58014673820312,17.028964943148495
2023Q4,2023-12-31,62020000000.0,17.58014673820312,0.6712801819114445,1.234935291005668,MSFT,17.028964943148495,15.195144957198025
2024Q1,2024-03-31,61858000000.0,17.028964943148495,0.7616079627591832,0.9868677555795178,MSFT,15.195144957198025,16.04472990427659
2024Q2,2024-06-30,64727000000.0,15.195144957198025,-0.17226665835851582,0.0087505832812316,MSFT,16.04472990427659,12.273460174137373
2024Q3,2024-09-30,65585000000.0,16.04472990427659,-0.05807439390701003,0.2216204130616056,MSFT,12.273460174137373,13.269100197225914
2024Q4,2024-12-31,69632000000.0,12.273460174137373,-1.066824190604185,-0.8091188601078818,MSFT,13.269100197225914,18.097548163826538
2025Q1,2025-03-31,70066000000.0,13.269100197225914,-0.4731783492620037,-0.0355303362367202,MSFT,18.097548163826538,18.431043683769154
2025Q2,2025-06-30,76441000000.0,18.097548163826538,-0.7263007301958978,-0.5642110413919194,MSFT,18.431043683769154,16.717888327205888
2025Q3,2025-09-30,77673000000.0,18.431043683769154,0.30548814864946366,0.5727868486164852,MSFT,16.717888327205888,18.2970342248737
2025Q4,2025-12-31,81273000000.0,16.717888327205888,-0.17861932436223196,0.1536157595841988,MSFT,18.2970342248737,
2026Q1,2026-03-31,82886000000.0,18.2970342248737,0.10669918174662106,0.7166146936351327,MSFT,,
2021Q2,2021-04-30,229000000.0,110.09174311926606,-0.5342666666666667,-0.3382,SNOW,104.51127819548871,108.74999999999999
2021Q3,2021-07-31,272000000.0,104.51127819548871,-0.37316666666666665,-0.2649,SNOW,108.74999999999999,102.10526315789474
2021Q4,2021-10-31,334000000.0,108.74999999999999,-0.5630666666666667,-0.4107,SNOW,102.10526315789474,84.27947598253276
2022Q1,2022-01-31,384000000.0,102.10526315789474,-0.5990000000000001,-0.4928,SNOW,84.27947598253276,82.72058823529412
2022Q2,2022-04-30,422000000.0,84.27947598253276,-0.6323666666666666,-0.5631,SNOW,82.72058823529412,66.76646706586826
2022Q3,2022-07-31,497000000.0,82.72058823529412,-0.5573,-0.31,SNOW,66.76646706586826,53.38541666666667
2022Q4,2022-10-31,557000000.0,66.76646706586826,-0.18686666666666665,0.0336,SNOW,53.38541666666667,47.86729857819905
2023Q1,2023-01-31,589000000.0,53.38541666666667,-0.6252,-0.5795,SNOW,47.86729857819905,35.61368209255533
2023Q2,2023-04-30,624000000.0,47.86729857819905,-0.6340666666666667,-0.5079,SNOW,35.61368209255533,31.77737881508078
2023Q3,2023-07-31,674000000.0,35.61368209255533,-0.8041999999999999,-0.7779,SNOW,31.77737881508078,31.578947368421062
2023Q4,2023-10-31,734000000.0,31.77737881508078,-0.7962666666666666,-0.7456,SNOW,31.578947368421062,32.852564102564095
2024Q1,2024-01-31,775000000.0,31.578947368421062,-0.4548666666666667,-0.4125,SNOW,32.852564102564095,28.931750741839757
2024Q2,2024-04-30,829000000.0,32.852564102564095,0.8315666666666667,1.7217,SNOW,28.931750741839757,28.33787465940054
2024Q3,2024-07-31,869000000.0,28.931750741839757,2.6570666666666667,2.9214,SNOW,28.33787465940054,27.35483870967741
2024Q4,2024-10-31,942000000.0,28.33787465940054,1.6647666666666667,2.4535,SNOW,27.35483870967741,25.693606755126662
2025Q1,2025-01-31,987000000.0,27.35483870967741,0.9596333333333332,1.0596,SNOW,25.693606755126662,31.760644418872275
2025Q2,2025-04-30,1042000000.0,25.693606755126662,0.6472666666666667,0.9127,SNOW,31.760644418872275,28.76857749469215
2025Q3,2025-07-31,1145000000.0,31.760644418872275,0.6328666666666666,0.9863,SNOW,28.76857749469215,30.091185410334354
2025Q4,2025-10-31,1213000000.0,28.76857749469215,1.4561666666666666,1.9453,SNOW,30.091185410334354,
2026Q1,2026-01-31,1284000000.0,30.091185410334354,-0.6164666666666667,-0.4554,SNOW,,
